braker_gene	braker_transcript	SSTP_gene	SSTP_transcript
g1161	g1161.t1	SSTP_0001161700	SSTP_0001161700.1
g11610	g11610.t1	SSTP_0001094600	SSTP_0001094600.1
g11611	g11611.t1	SSTP_0001094500	SSTP_0001094500.1
g11612	g11612.t1	SSTP_0001094400	SSTP_0001094400.1
g11613	g11613.t1	SSTP_0001094300	SSTP_0001094300.1
g11614	g11614.t1	SSTP_0001094200	SSTP_0001094200.1
g11615	g11615.t1	SSTP_0001094150	SSTP_0001094150.1
g11616	g11616.t1	SSTP_0001094100	SSTP_0001094100.1
g11617	g11617.t1	SSTP_0001094000	SSTP_0001094000.1
g11618	g11618.t1	SSTP_0001093900	SSTP_0001093900.1
g11619	g11619.t1	SSTP_0001093800	SSTP_0001093800.1
g11619	g11619.t2	SSTP_0001093800	SSTP_0001093800.1
g1162	g1162.t1	SSTP_0001161800	SSTP_0001161800.1
g11620	g11620.t1	SSTP_0001093700	SSTP_0001093700.1
g11621	g11621.t1	SSTP_0001093600	SSTP_0001093600.1
g11622	g11622.t1	SSTP_0001093500	SSTP_0001093500.1
g11623	g11623.t1	SSTP_0001093400	SSTP_0001093400.1
g11624	g11624.t1	SSTP_0001093300	SSTP_0001093300.1
g11625	g11625.t1	SSTP_0001093200	SSTP_0001093200.1
g11625	g11625.t2	SSTP_0001093200	SSTP_0001093200.1
g11626	g11626.t1	SSTP_0001093100	SSTP_0001093100.1
g11627	g11627.t1	SSTP_0001093000	SSTP_0001093000.1
g11628	g11628.t1	SSTP_0001092900	SSTP_0001092900.1
g11629	g11629.t1	SSTP_0001092800	SSTP_0001092800.1
g1163	g1163.t1	SSTP_0001161900	SSTP_0001161900.1
g11630	g11630.t1	SSTP_0001092700	SSTP_0001092700.1
g11631	g11631.t1	SSTP_0001092600	SSTP_0001092600.1
g11632	g11632.t1	SSTP_0001092500	SSTP_0001092500.1
g11633	g11633.t1	SSTP_0001092400	SSTP_0001092400.1
g11634	g11634.t1		
g11635	g11635.t1	SSTP_0001092400	SSTP_0001092400.1
g11636	g11636.t1	SSTP_0001092200	SSTP_0001092200.1
g11637	g11637.t1	SSTP_0001092100	SSTP_0001092100.1
g11638	g11638.t1	SSTP_0001092000	SSTP_0001092000.1
g11638	g11638.t2	SSTP_0001092000	SSTP_0001092000.1
g11639	g11639.t1	SSTP_0001091900	SSTP_0001091900.1
g1164	g1164.t1	SSTP_0001162000	SSTP_0001162000.1
g11640	g11640.t1	SSTP_0001091800	SSTP_0001091800.1
g11641	g11641.t1	SSTP_0001091700	SSTP_0001091700.1
g11642	g11642.t1	SSTP_0001091600	SSTP_0001091600.1
g11643	g11643.t1	SSTP_0001091500	SSTP_0001091500.1
g11644	g11644.t1	SSTP_0001091400	SSTP_0001091400.1
g11645	g11645.t1	SSTP_0001091200	SSTP_0001091200.1
g11646	g11646.t1	SSTP_0001091100	SSTP_0001091100.1
g11648	g11648.t1	SSTP_0001090900	SSTP_0001090900.1
g11648	g11648.t2	SSTP_0001090900	SSTP_0001090900.1
g11649	g11649.t1	SSTP_0001090800	SSTP_0001090800.1
g11649	g11649.t2	SSTP_0001090800	SSTP_0001090800.1
g11649	g11649.t3	SSTP_0001090800	SSTP_0001090800.1
g1165	g1165.t1	SSTP_0001162100	SSTP_0001162100.1
g11650	g11650.t1	SSTP_0001090700	SSTP_0001090700.1
g11651	g11651.t1	SSTP_0001090600	SSTP_0001090600.1
g11652	g11652.t1	SSTP_0001090500	SSTP_0001090500.1
g11653	g11653.t1	SSTP_0001090400	SSTP_0001090400.1
g11654	g11654.t1	SSTP_0001090300	SSTP_0001090300.1
g11655	g11655.t1	SSTP_0001090200	SSTP_0001090200.1
g11656	g11656.t1	SSTP_0001090100	SSTP_0001090100.1
g11657	g11657.t1	SSTP_0001090000	SSTP_0001090000.1
g11658	g11658.t1	SSTP_0001089900	SSTP_0001089900.1
g11659	g11659.t1	SSTP_0001089800	SSTP_0001089800.1
g1166	g1166.t1	SSTP_0001162200	SSTP_0001162200.1
g11660	g11660.t1	SSTP_0001089700	SSTP_0001089700.1
g11661	g11661.t1	SSTP_0001089600	SSTP_0001089600.1
g11662	g11662.t1	SSTP_0001089500	SSTP_0001089500.1
g11663	g11663.t1	SSTP_0001089400	SSTP_0001089400.1
g11664	g11664.t1	SSTP_0001089300	SSTP_0001089300.1
g11665	g11665.t1	SSTP_0001089200	SSTP_0001089200.1
g11666	g11666.t1	SSTP_0001089100	SSTP_0001089100.1
g11667	g11667.t1	SSTP_0000650200	SSTP_0000650200.1
g11668	g11668.t1	SSTP_0001088900	SSTP_0001088900.1
g11669	g11669.t1	SSTP_0001088800	SSTP_0001088800.1
g1167	g1167.t1	SSTP_0001162300	SSTP_0001162300.1
g11670	g11670.t1	SSTP_0001088700	SSTP_0001088700.1
g11671	g11671.t1	SSTP_0001088600	SSTP_0001088600.1
g11671	g11671.t2	SSTP_0001088600	SSTP_0001088600.1
g11672	g11672.t1	SSTP_0001088500	SSTP_0001088500.1
g11673	g11673.t1	SSTP_0001088400	SSTP_0001088400.1
g11674	g11674.t1	SSTP_0001088200	SSTP_0001088200.1
g11674	g11674.t2	SSTP_0001088200	SSTP_0001088200.1
g11675	g11675.t1	SSTP_0001088100	SSTP_0001088100.1
g11676	g11676.t1	SSTP_0001088000	SSTP_0001088000.1
g11677	g11677.t1	SSTP_0001087900	SSTP_0001087900.1
g11678	g11678.t1	SSTP_0001087800	SSTP_0001087800.1
g11679	g11679.t1	SSTP_0001087700	SSTP_0001087700.1
g11679	g11679.t2	SSTP_0001087700	SSTP_0001087700.1
g1168	g1168.t1	SSTP_0001162400	SSTP_0001162400.1
g11680	g11680.t1	SSTP_0001087600	SSTP_0001087600.1
g11680	g11680.t2	SSTP_0001087600	SSTP_0001087600.1
g11681	g11681.t1	SSTP_0001087500	SSTP_0001087500.1
g11682	g11682.t1	SSTP_0001087400	SSTP_0001087400.1
g11683	g11683.t1	SSTP_0001087300	SSTP_0001087300.1
g11683	g11683.t2	SSTP_0001087300	SSTP_0001087300.1
g11684	g11684.t1	SSTP_0001087200	SSTP_0001087200.1
g11685	g11685.t1	SSTP_0001087100	SSTP_0001087100.1
g11686	g11686.t1	SSTP_0001087000	SSTP_0001087000.1
g11687	g11687.t1	SSTP_0001086900	SSTP_0001086900.1
g11688	g11688.t1	SSTP_0001086800	SSTP_0001086800.1
g11689	g11689.t1	SSTP_0001086700	SSTP_0001086700.1
g1169	g1169.t1	SSTP_0001162500	SSTP_0001162500.1
g11690	g11690.t1	SSTP_0000300700	SSTP_0000300700.1
g11690	g11690.t2	SSTP_0000300700	SSTP_0000300700.1
g11691	g11691.t1	SSTP_0000881800	SSTP_0000881800.1
g11692	g11692.t1	SSTP_0000300900	SSTP_0000300900.1
g11693	g11693.t1	SSTP_0000301000	SSTP_0000301000.1
g11694	g11694.t1	SSTP_0001235100	SSTP_0001235100.1
g11695	g11695.t1	SSTP_0000301133	SSTP_0000301133.1
g11696	g11696.t1	SSTP_0000301166	SSTP_0000301166.1
g11697	g11697.t1	SSTP_0000301200	SSTP_0000301200.1
g11698	g11698.t1	SSTP_0000301300	SSTP_0000301300.1
g11699	g11699.t1	SSTP_0000301400	SSTP_0000301400.1
g117	g117.t1	SSTP_0000525900	SSTP_0000525900.1
g1170	g1170.t1	SSTP_0001162600	SSTP_0001162600.1
g11700	g11700.t1	SSTP_0000301500	SSTP_0000301500.1
g11701	g11701.t1	SSTP_0000301600	SSTP_0000301600.1
g11702	g11702.t1	SSTP_0000301700	SSTP_0000301700.1
g11703	g11703.t1	SSTP_0000301800	SSTP_0000301800.1
g11704	g11704.t1	SSTP_0000554400	SSTP_0000554400.1
g11705	g11705.t1	SSTP_0000302000	SSTP_0000302000.1
g11706	g11706.t1	SSTP_0000302100	SSTP_0000302100.1
g11707	g11707.t1	SSTP_0000302100	SSTP_0000302100.1
g11708	g11708.t1	SSTP_0000302200	SSTP_0000302200.1
g11709	g11709.t1	SSTP_0000302300	SSTP_0000302300.1
g1171	g1171.t1	SSTP_0001162700	SSTP_0001162700.1
g11710	g11710.t1	SSTP_0000302400	SSTP_0000302400.1
g11711	g11711.t1	SSTP_0000302500	SSTP_0000302500.1
g11712	g11712.t1	SSTP_0000302600	SSTP_0000302600.1
g11712	g11712.t2	SSTP_0000302600	SSTP_0000302600.1
g11713	g11713.t1	SSTP_0000302700	SSTP_0000302700.1
g11714	g11714.t1	SSTP_0000302800	SSTP_0000302800.1
g11715	g11715.t1	SSTP_0000302900	SSTP_0000302900.1
g11716	g11716.t1	SSTP_0000303000	SSTP_0000303000.1
g11717	g11717.t1	SSTP_0000303100	SSTP_0000303100.1
g11718	g11718.t1	SSTP_0000303200	SSTP_0000303200.1
g11719	g11719.t1	SSTP_0000303300	SSTP_0000303300.1
g1172	g1172.t1	SSTP_0001162800	SSTP_0001162800.1
g11720	g11720.t1	SSTP_0000303400	SSTP_0000303400.1
g11721	g11721.t1	SSTP_0000303500	SSTP_0000303500.1
g11721	g11721.t2	SSTP_0000303500	SSTP_0000303500.1
g11721	g11721.t3	SSTP_0000303500	SSTP_0000303500.1
g11721	g11721.t4	SSTP_0000303500	SSTP_0000303500.1
g11721	g11721.t5	SSTP_0000303500	SSTP_0000303500.1
g11723	g11723.t1	SSTP_0000303700	SSTP_0000303700.1
g11724	g11724.t1	SSTP_0000303850	SSTP_0000303850.1
g11725	g11725.t1	SSTP_0000303800	SSTP_0000303800.1
g11726	g11726.t1	SSTP_0000303850	SSTP_0000303850.1
g11727	g11727.t1	SSTP_0000304000	SSTP_0000304000.1
g11728	g11728.t1	SSTP_0000706100	SSTP_0000706100.1
g11728	g11728.t2	SSTP_0001235100	SSTP_0001235100.1
g11729	g11729.t1	SSTP_0000524000	SSTP_0000524000.1
g1173	g1173.t1	SSTP_0001162900	SSTP_0001162900.1
g11730	g11730.t1	SSTP_0000523900	SSTP_0000523900.1
g11731	g11731.t1	SSTP_0000523800	SSTP_0000523800.1
g11732	g11732.t1	SSTP_0000523700	SSTP_0000523700.1
g11733	g11733.t1	SSTP_0000523600	SSTP_0000523600.1
g11734	g11734.t1	SSTP_0000523500	SSTP_0000523500.1
g11735	g11735.t1	SSTP_0000523400	SSTP_0000523400.1
g11736	g11736.t1	SSTP_0000523300	SSTP_0000523300.1
g11737	g11737.t1	SSTP_0000523200	SSTP_0000523200.1
g11738	g11738.t1	SSTP_0000523100	SSTP_0000523100.1
g11739	g11739.t1	SSTP_0000523000	SSTP_0000523000.1
g1174	g1174.t1	SSTP_0001163000	SSTP_0001163000.1
g11740	g11740.t1	SSTP_0000522800	SSTP_0000522800.1
g11741	g11741.t1	SSTP_0000522500	SSTP_0000522500.1
g11742	g11742.t1	SSTP_0000522400	SSTP_0000522400.1
g11743	g11743.t1	SSTP_0000522300	SSTP_0000522300.1
g11744	g11744.t1	SSTP_0000522200	SSTP_0000522200.1
g11744	g11744.t2	SSTP_0000522200	SSTP_0000522200.1
g11744	g11744.t3	SSTP_0000522200	SSTP_0000522200.1
g11745	g11745.t1	SSTP_0000522100	SSTP_0000522100.1
g11746	g11746.t1	SSTP_0000522000	SSTP_0000522000.1
g11747	g11747.t1	SSTP_0000521900	SSTP_0000521900.1
g11748	g11748.t1	SSTP_0000521800	SSTP_0000521800.1
g11749	g11749.t1	SSTP_0000521700	SSTP_0000521700.1
g1175	g1175.t1	SSTP_0001163100	SSTP_0001163100.1
g1175	g1175.t2	SSTP_0001163100	SSTP_0001163100.1
g11750	g11750.t1	SSTP_0001207700	SSTP_0001207700.1
g11751	g11751.t1	SSTP_0000617500	SSTP_0000617500.1
g11752	g11752.t1	SSTP_0000617400	SSTP_0000617400.1
g11753	g11753.t1	SSTP_0000617300	SSTP_0000617300.1
g11754	g11754.t1	SSTP_0000617200	SSTP_0000617200.1
g11755	g11755.t1	SSTP_0000617100	SSTP_0000617100.1
g11756	g11756.t1	SSTP_0000617000	SSTP_0000617000.1
g11757	g11757.t1	SSTP_0000616900	SSTP_0000616900.1
g11758	g11758.t1	SSTP_0000616800	SSTP_0000616800.1
g11759	g11759.t1	SSTP_0000616700	SSTP_0000616700.1
g1176	g1176.t1	SSTP_0001163200	SSTP_0001163200.1
g11760	g11760.t1	SSTP_0000616600	SSTP_0000616600.1
g11761	g11761.t1	SSTP_0000616500	SSTP_0000616500.1
g11762	g11762.t1	SSTP_0000616400	SSTP_0000616400.1
g11763	g11763.t1	SSTP_0000616300	SSTP_0000616300.1
g11764	g11764.t1	SSTP_0000616200	SSTP_0000616200.1
g11765	g11765.t1	SSTP_0000616100	SSTP_0000616100.1
g11766	g11766.t1	SSTP_0000616000	SSTP_0000616000.1
g11767	g11767.t1	SSTP_0000615900	SSTP_0000615900.2
g11767	g11767.t2	SSTP_0000615900	SSTP_0000615900.2
g11768	g11768.t1	SSTP_0000615800	SSTP_0000615800.1
g11769	g11769.t1	SSTP_0000932600	SSTP_0000932600.1
g1177	g1177.t1	SSTP_0001163300	SSTP_0001163300.1
g11770	g11770.t1	SSTP_0000932700	SSTP_0000932700.1
g11771	g11771.t1	SSTP_0000932800	SSTP_0000932800.1
g11772	g11772.t1	SSTP_0000932900	SSTP_0000932900.1
g11773	g11773.t1	SSTP_0000933000	SSTP_0000933000.1
g11773	g11773.t2	SSTP_0000933000	SSTP_0000933000.1
g11773	g11773.t3	SSTP_0000933000	SSTP_0000933000.1
g11774	g11774.t1	SSTP_0000933100	SSTP_0000933100.1
g11775	g11775.t1	SSTP_0000933200	SSTP_0000933200.1
g11776	g11776.t1	SSTP_0000933300	SSTP_0000933300.1
g11777	g11777.t1	SSTP_0000933400	SSTP_0000933400.1
g11778	g11778.t1	SSTP_0000933500	SSTP_0000933500.1
g11779	g11779.t1	SSTP_0000933600	SSTP_0000933600.1
g1178	g1178.t1	SSTP_0001163400	SSTP_0001163400.1
g11780	g11780.t1	SSTP_0000933700	SSTP_0000933700.1
g11781	g11781.t1	SSTP_0000444400	SSTP_0000444400.1
g11782	g11782.t1	SSTP_0000444500	SSTP_0000444500.1
g11783	g11783.t1	SSTP_0000444600	SSTP_0000444600.1
g11783	g11783.t2	SSTP_0000444600	SSTP_0000444600.1
g11784	g11784.t1	SSTP_0000444700	SSTP_0000444700.1
g11785	g11785.t1	SSTP_0000444800	SSTP_0000444800.1
g11786	g11786.t1	SSTP_0000444900	SSTP_0000444900.1
g11787	g11787.t1	SSTP_0000445000	SSTP_0000445000.1
g11788	g11788.t1	SSTP_0000445100	SSTP_0000445100.1
g11789	g11789.t1	SSTP_0000445200	SSTP_0000445200.1
g1179	g1179.t1	SSTP_0001163500	SSTP_0001163500.1
g11790	g11790.t1	SSTP_0000445300	SSTP_0000445300.1
g11791	g11791.t1	SSTP_0000445400	SSTP_0000445400.1
g11792	g11792.t1	SSTP_0000445500	SSTP_0000445500.1
g11793	g11793.t1	SSTP_0000445600	SSTP_0000445600.1
g11794	g11794.t1	SSTP_0000445700	SSTP_0000445700.1
g11795	g11795.t1	SSTP_0000445800	SSTP_0000445800.1
g11796	g11796.t1	SSTP_0000445900	SSTP_0000445900.1
g11796	g11796.t2	SSTP_0000445900	SSTP_0000445900.1
g11797	g11797.t1	SSTP_0000446100	SSTP_0000446100.1
g11798	g11798.t1	SSTP_0000446200	SSTP_0000446200.1
g11799	g11799.t1	SSTP_0000446300	SSTP_0000446300.1
g118	g118.t1	SSTP_0000526000	SSTP_0000526000.1
g1180	g1180.t1	SSTP_0001163600	SSTP_0001163600.1
g11800	g11800.t1	SSTP_0000446400	SSTP_0000446400.1
g11801	g11801.t1	SSTP_0000446500	SSTP_0000446500.1
g11802	g11802.t1	SSTP_0000446600	SSTP_0000446600.1
g11802	g11802.t2	SSTP_0000446600	SSTP_0000446600.1
g11803	g11803.t1	SSTP_0000446700	SSTP_0000446700.1
g11803	g11803.t2	SSTP_0000446700	SSTP_0000446700.1
g11804	g11804.t1	SSTP_0000446800	SSTP_0000446800.1
g11805	g11805.t1	SSTP_0000446900	SSTP_0000446900.1
g11806	g11806.t1	SSTP_0001270625	SSTP_0001270625.1
g11807	g11807.t1	SSTP_0000449300	SSTP_0000449300.1
g11808	g11808.t1	SSTP_0000449400	SSTP_0000449400.1
g11809	g11809.t1	SSTP_0000449500	SSTP_0000449500.1
g11809	g11809.t2	SSTP_0000449500	SSTP_0000449500.1
g1181	g1181.t1	SSTP_0001163700	SSTP_0001163700.1
g11810	g11810.t1	SSTP_0000449600	SSTP_0000449600.1
g11810	g11810.t2	SSTP_0000449600	SSTP_0000449600.1
g11811	g11811.t1	SSTP_0000449800	SSTP_0000449800.1
g11812	g11812.t1	SSTP_0000449900	SSTP_0000449900.1
g11813	g11813.t1	SSTP_0000276800	SSTP_0000276800.1
g11814	g11814.t1	SSTP_0000276700	SSTP_0000276700.1
g11815	g11815.t1	SSTP_0000276600	SSTP_0000276600.1
g11816	g11816.t1	SSTP_0000276500	SSTP_0000276500.1
g11816	g11816.t2	SSTP_0000276500	SSTP_0000276500.1
g11816	g11816.t3	SSTP_0000276500	SSTP_0000276500.1
g11817	g11817.t1	SSTP_0000276400	SSTP_0000276400.1
g11818	g11818.t1	SSTP_0000276300	SSTP_0000276300.1
g11819	g11819.t1	SSTP_0000276200	SSTP_0000276200.1
g1182	g1182.t1	SSTP_0001163800	SSTP_0001163800.1
g1182	g1182.t2	SSTP_0001163800	SSTP_0001163800.1
g11820	g11820.t1	SSTP_0000276100	SSTP_0000276100.1
g11821	g11821.t1	SSTP_0000276000	SSTP_0000276000.1
g11821	g11821.t2	SSTP_0000276000	SSTP_0000276000.1
g11822	g11822.t1	SSTP_0000275900	SSTP_0000275900.1
g11823	g11823.t1	SSTP_0000275700	SSTP_0000275700.1
g11824	g11824.t1	SSTP_0000275600	SSTP_0000275600.1
g11825	g11825.t1	SSTP_0000275550	SSTP_0000275550.1
g11826	g11826.t1	SSTP_0000275500	SSTP_0000275500.1
g11827	g11827.t1	SSTP_0000275400	SSTP_0000275400.1
g11828	g11828.t1	SSTP_0000275300	SSTP_0000275300.1
g11829	g11829.t1	SSTP_0000275200	SSTP_0000275200.1
g1183	g1183.t1	SSTP_0001163900	SSTP_0001163900.1
g11830	g11830.t1	SSTP_0000274900	SSTP_0000274900.1
g11831	g11831.t1	SSTP_0000274800	SSTP_0000274800.1
g11832	g11832.t1	SSTP_0000274700	SSTP_0000274700.1
g11833	g11833.t1	SSTP_0000274600	SSTP_0000274600.1
g11834	g11834.t1	SSTP_0000274500	SSTP_0000274500.1
g11835	g11835.t1	SSTP_0000274400	SSTP_0000274400.1
g11836	g11836.t1	SSTP_0000274000	SSTP_0000274000.1
g11837	g11837.t1	SSTP_0000273900	SSTP_0000273900.1
g11838	g11838.t1	SSTP_0000273800	SSTP_0000273800.1
g11839	g11839.t1	SSTP_0000273600	SSTP_0000273600.1
g1184	g1184.t1	SSTP_0001164000	SSTP_0001164000.1
g11840	g11840.t1	SSTP_0000273500	SSTP_0000273500.1
g11841	g11841.t1	SSTP_0000273400	SSTP_0000273400.1
g11842	g11842.t1	SSTP_0000273300	SSTP_0000273300.1
g11842	g11842.t2	SSTP_0000273300	SSTP_0000273300.1
g11842	g11842.t3	SSTP_0000273300	SSTP_0000273300.1
g11843	g11843.t1	SSTP_0000273200	SSTP_0000273200.1
g11844	g11844.t1	SSTP_0000273100	SSTP_0000273100.1
g11844	g11844.t2	SSTP_0000273100	SSTP_0000273100.1
g11845	g11845.t1	SSTP_0000273000	SSTP_0000273000.1
g11846	g11846.t1	SSTP_0000272900	SSTP_0000272900.1
g11847	g11847.t1	SSTP_0000272800	SSTP_0000272800.1
g11848	g11848.t1	SSTP_0000272700	SSTP_0000272700.1
g11849	g11849.t1	SSTP_0000272600	SSTP_0000272600.1
g1185	g1185.t1	SSTP_0001164100	SSTP_0001164100.1
g11850	g11850.t1	SSTP_0000272500	SSTP_0000272500.1
g11851	g11851.t1	SSTP_0000272400	SSTP_0000272400.1
g11852	g11852.t1	SSTP_0000272300	SSTP_0000272300.1
g11853	g11853.t1	SSTP_0000272200	SSTP_0000272200.1
g11854	g11854.t1	SSTP_0000272100	SSTP_0000272100.1
g11855	g11855.t1	SSTP_0000272000	SSTP_0000272000.1
g11856	g11856.t1	SSTP_0000271900	SSTP_0000271900.1
g11857	g11857.t1	SSTP_0000271800	SSTP_0000271800.1
g11858	g11858.t1	SSTP_0000271700	SSTP_0000271700.1
g11859	g11859.t1	SSTP_0000271600	SSTP_0000271600.1
g1186	g1186.t1	SSTP_0001164200	SSTP_0001164200.1
g11860	g11860.t1	SSTP_0000271500	SSTP_0000271500.1
g11861	g11861.t1	SSTP_0000271400	SSTP_0000271400.1
g11862	g11862.t1	SSTP_0001269800	SSTP_0001269800.1
g11863	g11863.t1	SSTP_0000487800	SSTP_0000487800.1
g11863	g11863.t2	SSTP_0000487800	SSTP_0000487800.1
g11864	g11864.t1	SSTP_0000650200	SSTP_0000650200.1
g11865	g11865.t1	SSTP_0000650100	SSTP_0000650100.1
g11865	g11865.t2	SSTP_0000650100	SSTP_0000650100.1
g11866	g11866.t1	SSTP_0000884400	SSTP_0000884400.1
g11867	g11867.t1	SSTP_0000884300	SSTP_0000884300.1
g11868	g11868.t1	SSTP_0000884200	SSTP_0000884200.1
g11869	g11869.t1	SSTP_0000884100	SSTP_0000884100.1
g11869	g11869.t2	SSTP_0000884100	SSTP_0000884100.1
g1187	g1187.t1	SSTP_0001164300	SSTP_0001164300.1
g1187	g1187.t2	SSTP_0001164300	SSTP_0001164300.1
g11870	g11870.t1	SSTP_0001020700	SSTP_0001020700.1
g11871	g11871.t1	SSTP_0000001600	SSTP_0000001600.1
g11872	g11872.t1	SSTP_0000001600	SSTP_0000001600.1
g11873	g11873.t1	SSTP_0001020700	SSTP_0001020700.1
g11874	g11874.t1	SSTP_0000488400	SSTP_0000488400.1
g11875	g11875.t1	SSTP_0000488500	SSTP_0000488500.1
g11876	g11876.t1	SSTP_0000488600	SSTP_0000488600.1
g11877	g11877.t1	SSTP_0000488700	SSTP_0000488700.1
g11878	g11878.t1	SSTP_0000488800	SSTP_0000488800.1
g11879	g11879.t1	SSTP_0000488900	SSTP_0000488900.1
g1188	g1188.t1	SSTP_0001164400	SSTP_0001164400.1
g11880	g11880.t1	SSTP_0000489000	SSTP_0000489000.1
g11881	g11881.t1	SSTP_0000489100	SSTP_0000489100.1
g11882	g11882.t1	SSTP_0000489200	SSTP_0000489200.1
g11882	g11882.t2	SSTP_0000489200	SSTP_0000489200.1
g11883	g11883.t1	SSTP_0000489300	SSTP_0000489300.1
g11884	g11884.t1	SSTP_0000489300	SSTP_0000489300.1
g11885	g11885.t1	SSTP_0000489400	SSTP_0000489400.1
g11886	g11886.t1	SSTP_0000489500	SSTP_0000489500.1
g11886	g11886.t2	SSTP_0000489500	SSTP_0000489500.1
g11887	g11887.t1	SSTP_0000489600	SSTP_0000489600.1
g11887	g11887.t2	SSTP_0000489600	SSTP_0000489600.1
g11888	g11888.t1	SSTP_0000489700	SSTP_0000489700.1
g11889	g11889.t1	SSTP_0000489800	SSTP_0000489800.1
g11889	g11889.t2	SSTP_0000489800	SSTP_0000489800.1
g1189	g1189.t1	SSTP_0001164500	SSTP_0001164500.1
g11890	g11890.t1	SSTP_0000489900	SSTP_0000489900.1
g11891	g11891.t1	SSTP_0000490000	SSTP_0000490000.1
g11892	g11892.t1	SSTP_0000490100	SSTP_0000490100.1
g11893	g11893.t1	SSTP_0000490200	SSTP_0000490200.1
g11894	g11894.t1	SSTP_0000286300	SSTP_0000286300.1
g11895	g11895.t1	SSTP_0000490400	SSTP_0000490400.1
g11896	g11896.t1	SSTP_0000490700	SSTP_0000490700.1
g11897	g11897.t1	SSTP_0000490800	SSTP_0000490800.1
g11897	g11897.t2	SSTP_0000490800	SSTP_0000490800.1
g11898	g11898.t1	SSTP_0000490900	SSTP_0000490900.1
g11899	g11899.t1	SSTP_0000491000	SSTP_0000491000.1
g11899	g11899.t2	SSTP_0000491000	SSTP_0000491000.1
g119	g119.t1	SSTP_0000526100	SSTP_0000526100.1
g1190	g1190.t1	SSTP_0001164500	SSTP_0001164500.1
g11900	g11900.t1	SSTP_0000491100	SSTP_0000491100.1
g11901	g11901.t1	SSTP_0000491200	SSTP_0000491200.1
g11902	g11902.t1	SSTP_0000491300	SSTP_0000491300.1
g11903	g11903.t1	SSTP_0000491400	SSTP_0000491400.1
g11904	g11904.t1	SSTP_0000491500	SSTP_0000491500.1
g11905	g11905.t1	SSTP_0000491500	SSTP_0000491500.1
g11906	g11906.t1	SSTP_0000491600	SSTP_0000491600.1
g11907	g11907.t1	SSTP_0000491700	SSTP_0000491700.1
g11908	g11908.t1	SSTP_0000491800	SSTP_0000491800.1
g11909	g11909.t1	SSTP_0000491900	SSTP_0000491900.1
g11909	g11909.t2	SSTP_0000491900	SSTP_0000491900.1
g1191	g1191.t1		
g11910	g11910.t1	SSTP_0000458600	SSTP_0000458600.1
g11911	g11911.t1	SSTP_0000301133	SSTP_0000301133.1
g11912	g11912.t1	SSTP_0000492000	SSTP_0000492000.1
g11913	g11913.t1	SSTP_0000492100	SSTP_0000492100.1
g11914	g11914.t1	SSTP_0000492400	SSTP_0000492400.1
g11915	g11915.t1	SSTP_0000492600	SSTP_0000492600.1
g11916	g11916.t1	SSTP_0000492800	SSTP_0000492800.1
g11917	g11917.t1	SSTP_0000492900	SSTP_0000492900.1
g11918	g11918.t1	SSTP_0000493000	SSTP_0000493000.1
g11919	g11919.t1	SSTP_0000493200	SSTP_0000493200.1
g1192	g1192.t1	SSTP_0001164600	SSTP_0001164600.1
g11920	g11920.t1	SSTP_0000493300	SSTP_0000493300.1
g11921	g11921.t1	SSTP_0000493400	SSTP_0000493400.1
g11922	g11922.t1	SSTP_0001284000	SSTP_0001284000.1
g11923	g11923.t1	SSTP_0000493500	SSTP_0000493500.1
g11924	g11924.t1	SSTP_0000493600	SSTP_0000493600.1
g11925	g11925.t1	SSTP_0000641000	SSTP_0000641000.1
g11926	g11926.t1	SSTP_0000493700	SSTP_0000493700.1
g11927	g11927.t1	SSTP_0000493800	SSTP_0000493800.1
g11928	g11928.t1	SSTP_0000493900	SSTP_0000493900.1
g11929	g11929.t1	SSTP_0000494000	SSTP_0000494000.1
g1193	g1193.t1	SSTP_0001164700	SSTP_0001164700.1
g11930	g11930.t1	SSTP_0000494100	SSTP_0000494100.1
g11931	g11931.t1	SSTP_0000494200	SSTP_0000494200.1
g11932	g11932.t1	SSTP_0000494300	SSTP_0000494300.1
g11932	g11932.t2	SSTP_0000494300	SSTP_0000494300.1
g11933	g11933.t1	SSTP_0000494400	SSTP_0000494400.1
g11934	g11934.t1	SSTP_0000494500	SSTP_0000494500.1
g11935	g11935.t1	SSTP_0000494600	SSTP_0000494600.1
g11936	g11936.t1	SSTP_0000494700	SSTP_0000494700.1
g11937	g11937.t1	SSTP_0000494800	SSTP_0000494800.1
g11938	g11938.t1	SSTP_0000494900	SSTP_0000494900.1
g11938	g11938.t2	SSTP_0000494900	SSTP_0000494900.1
g11938	g11938.t3	SSTP_0000494900	SSTP_0000494900.1
g11939	g11939.t1	SSTP_0000495000	SSTP_0000495000.1
g1194	g1194.t1	SSTP_0001164800	SSTP_0001164800.1
g11940	g11940.t1	SSTP_0000495100	SSTP_0000495100.1
g11941	g11941.t1	SSTP_0000495200	SSTP_0000495200.1
g11942	g11942.t1	SSTP_0000495300	SSTP_0000495300.1
g11943	g11943.t1	SSTP_0000495400	SSTP_0000495400.1
g11944	g11944.t1	SSTP_0000495500	SSTP_0000495500.1
g11945	g11945.t1	SSTP_0000495600	SSTP_0000495600.1
g11945	g11945.t2	SSTP_0000495600	SSTP_0000495600.1
g11946	g11946.t1	SSTP_0000495700	SSTP_0000495700.1
