Sster_gene	Sster_mRNA	Sster_transcript	SSTP_gene	SSTP_transcript
XLOC_001672	TCONS_00001779	TCONS_00001779.p1	SSTP_0001045000	SSTP_0001045000.1
XLOC_001672	TCONS_00004346	TCONS_00004346.p1	SSTP_0001045000	SSTP_0001045000.1
XLOC_001673	TCONS_00001780	TCONS_00001780.p1	SSTP_0001045500	SSTP_0001045500.1
XLOC_001674	TCONS_00001781	TCONS_00001781.p1	SSTP_0001046300	SSTP_0001046300.1
XLOC_001677	TCONS_00001784	TCONS_00001784.p1	SSTP_0001046600	SSTP_0001046600.1
XLOC_001677	TCONS_00004347	TCONS_00004347.p1	SSTP_0001046600	SSTP_0001046600.1
XLOC_001679	TCONS_00001786	TCONS_00001786.p1	SSTP_0001047100	SSTP_0001047100.1
XLOC_001680	TCONS_00001787	TCONS_00001787.p1	SSTP_0001047400	SSTP_0001047400.1
XLOC_001681	TCONS_00001788	TCONS_00001788.p1	SSTP_0001048000	SSTP_0001048000.1
XLOC_001681	TCONS_00004348	TCONS_00004348.p1	SSTP_0001048000	SSTP_0001048000.1
XLOC_001682	TCONS_00001789	TCONS_00001789.p1	SSTP_0001048600	SSTP_0001048600.1
XLOC_001683	TCONS_00001790	TCONS_00001790.p1	SSTP_0001048800	SSTP_0001048800.1
XLOC_001683	TCONS_00004349	TCONS_00004349.p1	SSTP_0001048800	SSTP_0001048800.1
XLOC_001684	TCONS_00001791	TCONS_00001791.p1	SSTP_0001049000	SSTP_0001049000.1
XLOC_001684	TCONS_00001792	TCONS_00001792.p1	SSTP_0001049100	SSTP_0001049100.1
XLOC_001684	TCONS_00004350	TCONS_00004350.p1	SSTP_0001049100	SSTP_0001049100.1
XLOC_001685	TCONS_00001793	TCONS_00001793.p1	SSTP_0001049400	SSTP_0001049400.1
XLOC_001685	TCONS_00004351	TCONS_00004351.p1	SSTP_0001049400	SSTP_0001049400.1
XLOC_001686	TCONS_00001794	TCONS_00001794.p1	SSTP_0001049500	SSTP_0001049500.1
XLOC_001687	TCONS_00001795	TCONS_00001795.p1	SSTP_0001049800	SSTP_0001049800.1
XLOC_001689	TCONS_00001797	TCONS_00001797.p1	SSTP_0001050000	SSTP_0001050000.1
XLOC_001690	TCONS_00001798	TCONS_00001798.p1	SSTP_0001050100	SSTP_0001050100.1
XLOC_001693	TCONS_00001799	TCONS_00001799.p1	SSTP_0000483384	SSTP_0000483384.1
XLOC_001693	TCONS_00004354	TCONS_00004354.p1	SSTP_0001213750	SSTP_0001213750.1
XLOC_001698	TCONS_00001801	TCONS_00001801.p1	SSTP_0001099900	SSTP_0001099900.1
XLOC_001699	TCONS_00001802	TCONS_00001802.p1	SSTP_0001100400	SSTP_0001100400.1
XLOC_001700	TCONS_00001803	TCONS_00001803.p1	SSTP_0001100700	SSTP_0001100700.1
XLOC_001701	TCONS_00001804	TCONS_00001804.p1	SSTP_0001100800	SSTP_0001100800.1
XLOC_001701	TCONS_00004359	TCONS_00004359.p1	SSTP_0001100800	SSTP_0001100800.1
XLOC_001702	TCONS_00001805	TCONS_00001805.p1	SSTP_0001101000	SSTP_0001101000.1
XLOC_001703	TCONS_00001806	TCONS_00001806.p1	SSTP_0001101700	SSTP_0001101700.1
XLOC_001704	TCONS_00001807	TCONS_00001807.p1	SSTP_0001101900	SSTP_0001101900.1
XLOC_001704	TCONS_00004360	TCONS_00004360.p1	SSTP_0001101900	SSTP_0001101900.1
XLOC_001705	TCONS_00001808	TCONS_00001808.p1	SSTP_0001102100	SSTP_0001102100.1
XLOC_001706	TCONS_00004361	TCONS_00004361.p1	SSTP_0000483384	SSTP_0000483384.1
XLOC_001711	TCONS_00001809	TCONS_00001809.p1	SSTP_0000524600	SSTP_0000524600.1
XLOC_001712	TCONS_00001810	TCONS_00001810.p1	SSTP_0000524900	SSTP_0000524900.1
XLOC_001713	TCONS_00001811	TCONS_00001811.p1	SSTP_0000525000	SSTP_0000525000.1
XLOC_001713	TCONS_00004367	TCONS_00004367.p1	SSTP_0000525000	SSTP_0000525000.1
XLOC_001714	TCONS_00001812	TCONS_00001812.p1	SSTP_0000525300	SSTP_0000525300.1
XLOC_001715	TCONS_00001813	TCONS_00001813.p1	SSTP_0000525700	SSTP_0000525700.1
XLOC_001715	TCONS_00004368	TCONS_00004368.p1	SSTP_0000525700	SSTP_0000525700.1
XLOC_001716	TCONS_00001814	TCONS_00001814.p1	SSTP_0000526000	SSTP_0000526000.1
XLOC_001717	TCONS_00001815	TCONS_00001815.p1	SSTP_0000526200	SSTP_0000526200.1
XLOC_001718	TCONS_00001816	TCONS_00001816.p1	SSTP_0000526400	SSTP_0000526400.1
XLOC_001718	TCONS_00004369	TCONS_00004369.p1	SSTP_0000526400	SSTP_0000526400.1
XLOC_001719	TCONS_00001817	TCONS_00001817.p1	SSTP_0000526900	SSTP_0000526900.1
XLOC_001720	TCONS_00001818	TCONS_00001818.p1	SSTP_0000527100	SSTP_0000527100.1
XLOC_001721	TCONS_00001819	TCONS_00001819.p1	SSTP_0000527200	SSTP_0000527200.1
XLOC_001721	TCONS_00004370	TCONS_00004370.p1	SSTP_0000527200	SSTP_0000527200.1
XLOC_001722	TCONS_00001820	TCONS_00001820.p1	SSTP_0000527300	SSTP_0000527300.1
XLOC_001723	TCONS_00001821	TCONS_00001821.p1	SSTP_0000527400	SSTP_0000527400.1
XLOC_001724	TCONS_00001822	TCONS_00001822.p1	SSTP_0000527700	SSTP_0000527700.1
XLOC_001724	TCONS_00004371	TCONS_00004371.p1	SSTP_0000527700	SSTP_0000527700.1
XLOC_001725	TCONS_00001823	TCONS_00001823.p1	SSTP_0000527800	SSTP_0000527800.1
XLOC_001726	TCONS_00001824	TCONS_00001824.p1	SSTP_0000528500	SSTP_0000528500.1
XLOC_001727	TCONS_00001825	TCONS_00001825.p1	SSTP_0000528700	SSTP_0000528700.1
XLOC_001727	TCONS_00004372	TCONS_00004372.p1	SSTP_0000528700	SSTP_0000528700.1
XLOC_001728	TCONS_00001826	TCONS_00001826.p1	SSTP_0000529000	SSTP_0000529000.1
XLOC_001729	TCONS_00001827	TCONS_00001827.p1	SSTP_0000529200	SSTP_0000529200.1
XLOC_001730	TCONS_00001828	TCONS_00001828.p1	SSTP_0000529400	SSTP_0000529400.1
XLOC_001731	TCONS_00001829	TCONS_00001829.p1	SSTP_0000529500	SSTP_0000529500.1
XLOC_001732	TCONS_00001830	TCONS_00001830.p1	SSTP_0000529600	SSTP_0000529600.1
XLOC_001732	TCONS_00004373	TCONS_00004373.p1	SSTP_0000529600	SSTP_0000529600.1
XLOC_001733	TCONS_00001831	TCONS_00001831.p1	SSTP_0000529800	SSTP_0000529800.1
XLOC_001734	TCONS_00001832	TCONS_00001832.p1	SSTP_0000530000	SSTP_0000530000.1
XLOC_001735	TCONS_00001833	TCONS_00001833.p1	SSTP_0000530100	SSTP_0000530100.1
XLOC_001736	TCONS_00001834	TCONS_00001834.p1	SSTP_0000530200	SSTP_0000530200.1
XLOC_001737	TCONS_00001835	TCONS_00001835.p1	SSTP_0000530400	SSTP_0000530400.1
XLOC_001737	TCONS_00004374	TCONS_00004374.p1	SSTP_0000530400	SSTP_0000530400.1
XLOC_001738	TCONS_00001836	TCONS_00001836.p1	SSTP_0000946300	SSTP_0000946300.1
XLOC_001743	TCONS_00001837	TCONS_00001837.p1	SSTP_0000946300	SSTP_0000946300.1
XLOC_001744	TCONS_00001838	TCONS_00001838.p1	SSTP_0000946200	SSTP_0000946200.1
XLOC_001745	TCONS_00001839	TCONS_00001839.p1	SSTP_0000946000	SSTP_0000946000.1
XLOC_001745	TCONS_00001840	TCONS_00001840.p1	SSTP_0000945700	SSTP_0000945700.1
XLOC_001745	TCONS_00001841	TCONS_00001841.p1	SSTP_0000945600	SSTP_0000945600.1
XLOC_001745	TCONS_00001842	TCONS_00001842.p1	SSTP_0000945500	SSTP_0000945500.1
XLOC_001745	TCONS_00004380	TCONS_00004380.p1	SSTP_0000945600	SSTP_0000945600.1
XLOC_001747	TCONS_00001844	TCONS_00001844.p1	SSTP_0000945300	SSTP_0000945300.1
XLOC_001747	TCONS_00004381	TCONS_00004381.p1	SSTP_0000945300	SSTP_0000945300.1
XLOC_001748	TCONS_00001845	TCONS_00001845.p1	SSTP_0000945200	SSTP_0000945200.1
XLOC_001749	TCONS_00001846	TCONS_00001846.p1	SSTP_0000945100	SSTP_0000945100.1
XLOC_001749	TCONS_00001847	TCONS_00001847.p1	SSTP_0000945000	SSTP_0000945000.1
XLOC_001749	TCONS_00001848	TCONS_00001848.p1	SSTP_0000944900	SSTP_0000944900.1
XLOC_001749	TCONS_00004382	TCONS_00004382.p1	SSTP_0000944900	SSTP_0000944900.1
XLOC_001750	TCONS_00001849	TCONS_00001849.p1	SSTP_0000944700	SSTP_0000944700.1
XLOC_001751	TCONS_00001850	TCONS_00001850.p1	SSTP_0000944400	SSTP_0000944400.1
XLOC_001752	TCONS_00001851	TCONS_00001851.p1	SSTP_0001144900	SSTP_0001144900.1
XLOC_001753	TCONS_00001852	TCONS_00001852.p1	SSTP_0001145100	SSTP_0001145100.1
XLOC_001753	TCONS_00001853	TCONS_00001853.p1	SSTP_0001145200	SSTP_0001145200.1
XLOC_001753	TCONS_00001854	TCONS_00001854.p1	SSTP_0001145300	SSTP_0001145300.1
XLOC_001753	TCONS_00004383	TCONS_00004383.p1	SSTP_0001145300	SSTP_0001145300.1
XLOC_001753	TCONS_00004383	TCONS_00004383.p2	SSTP_0001145100	SSTP_0001145100.1
XLOC_001754	TCONS_00001855	TCONS_00001855.p1	SSTP_0001145800	SSTP_0001145800.1
XLOC_001755	TCONS_00001856	TCONS_00001856.p1	SSTP_0001145900	SSTP_0001145900.1
XLOC_001756	TCONS_00001857	TCONS_00001857.p1	SSTP_0001146100	SSTP_0001146100.1
XLOC_001757	TCONS_00001858	TCONS_00001858.p1	SSTP_0001146300	SSTP_0001146300.1
XLOC_001757	TCONS_00001859	TCONS_00001859.p1	SSTP_0001146400	SSTP_0001146400.1
XLOC_001757	TCONS_00004384	TCONS_00004384.p1	SSTP_0001146300	SSTP_0001146300.1
XLOC_001758	TCONS_00001860	TCONS_00001860.p1	SSTP_0001146500	SSTP_0001146500.1
XLOC_001758	TCONS_00004385	TCONS_00004385.p1	SSTP_0001146500	SSTP_0001146500.1
XLOC_001759	TCONS_00001861	TCONS_00001861.p1	SSTP_0001146600	SSTP_0001146600.1
XLOC_001760	TCONS_00001862	TCONS_00001862.p1	SSTP_0001147000	SSTP_0001147000.1
XLOC_001760	TCONS_00004386	TCONS_00004386.p1	SSTP_0001147000	SSTP_0001147000.1
XLOC_001761	TCONS_00001863	TCONS_00001863.p1	SSTP_0001147300	SSTP_0001147300.1
XLOC_001765	TCONS_00004388	TCONS_00004388.p1	SSTP_0001283800	SSTP_0001283800.1
XLOC_001767	TCONS_00001866	TCONS_00001866.p1	SSTP_0000267100	SSTP_0000267100.1
XLOC_001768	TCONS_00001867	TCONS_00001867.p1	SSTP_0000267300	SSTP_0000267300.1
XLOC_001769	TCONS_00001868	TCONS_00001868.p1	SSTP_0000267500	SSTP_0000267500.1
XLOC_001770	TCONS_00001869	TCONS_00001869.p1	SSTP_0000267950	SSTP_0000267950.1
XLOC_001771	TCONS_00001870	TCONS_00001870.p1	SSTP_0000268000	SSTP_0000268000.1
XLOC_001772	TCONS_00001871	TCONS_00001871.p1	SSTP_0000268100	SSTP_0000268100.1
XLOC_001772	TCONS_00001872	TCONS_00001872.p1	SSTP_0000268200	SSTP_0000268200.1
XLOC_001772	TCONS_00004393	TCONS_00004393.p1	SSTP_0000268100	SSTP_0000268100.1
XLOC_001773	TCONS_00001873	TCONS_00001873.p1	SSTP_0000268600	SSTP_0000268600.1
XLOC_001774	TCONS_00001874	TCONS_00001874.p1	SSTP_0000268700	SSTP_0000268700.1
XLOC_001774	TCONS_00004394	TCONS_00004394.p1	SSTP_0000268700	SSTP_0000268700.1
XLOC_001776	TCONS_00001876	TCONS_00001876.p1	SSTP_0000269000	SSTP_0000269000.2
XLOC_001776	TCONS_00004396	TCONS_00004396.p1	SSTP_0000269000	SSTP_0000269000.2
XLOC_001778	TCONS_00001878	TCONS_00001878.p1	SSTP_0000269200	SSTP_0000269200.1
XLOC_001779	TCONS_00001879	TCONS_00001879.p1	SSTP_0000269300	SSTP_0000269300.1
XLOC_001780	TCONS_00001880	TCONS_00001880.p1	SSTP_0000269600	SSTP_0000269600.1
XLOC_001781	TCONS_00001881	TCONS_00001881.p1	SSTP_0000269900	SSTP_0000269900.1
XLOC_001783	TCONS_00004398	TCONS_00004398.p1	SSTP_0001283800	SSTP_0001283800.1
XLOC_001790	TCONS_00001882	TCONS_00001882.p1	SSTP_0000994700	SSTP_0000994700.1
XLOC_001790	TCONS_00004405	TCONS_00004405.p1	SSTP_0000994700	SSTP_0000994700.1
XLOC_001791	TCONS_00001883	TCONS_00001883.p1	SSTP_0000994200	SSTP_0000994200.1
XLOC_001792	TCONS_00001884	TCONS_00001884.p1	SSTP_0000994150	SSTP_0000994150.1
XLOC_001793	TCONS_00001885	TCONS_00001885.p1	SSTP_0000993900	SSTP_0000993900.1
XLOC_001793	TCONS_00004406	TCONS_00004406.p1	SSTP_0000993900	SSTP_0000993900.1
XLOC_001794	TCONS_00001886	TCONS_00001886.p1	SSTP_0000993800	SSTP_0000993800.1
XLOC_001795	TCONS_00001887	TCONS_00001887.p1	SSTP_0000993700	SSTP_0000993700.1
XLOC_001796	TCONS_00001888	TCONS_00001888.p1	SSTP_0000993600	SSTP_0000993600.1
XLOC_001797	TCONS_00001889	TCONS_00001889.p1	SSTP_0000993300	SSTP_0000993300.1
XLOC_001798	TCONS_00001890	TCONS_00001890.p1	SSTP_0000993200	SSTP_0000993200.1
XLOC_001799	TCONS_00001891	TCONS_00001891.p1	SSTP_0000993100	SSTP_0000993100.1
XLOC_001799	TCONS_00004407	TCONS_00004407.p1	SSTP_0000993100	SSTP_0000993100.1
XLOC_001800	TCONS_00001892	TCONS_00001892.p1	SSTP_0000993000	SSTP_0000993000.1
XLOC_001801	TCONS_00001893	TCONS_00001893.p1	SSTP_0000992400	SSTP_0000992400.1
XLOC_001801	TCONS_00004408	TCONS_00004408.p1	SSTP_0000992400	SSTP_0000992400.1
XLOC_001802	TCONS_00004409	TCONS_00004409.p1	SSTP_0000992300	SSTP_0000992300.1
XLOC_001803	TCONS_00001894	TCONS_00001894.p1	SSTP_0000991800	SSTP_0000991800.1
XLOC_001804	TCONS_00001895	TCONS_00001895.p1	SSTP_0000991500	SSTP_0000991500.1
XLOC_001804	TCONS_00001896	TCONS_00001896.p1	SSTP_0000991400	SSTP_0000991400.1
XLOC_001804	TCONS_00004410	TCONS_00004410.p1	SSTP_0000991500	SSTP_0000991500.1
XLOC_001805	TCONS_00001897	TCONS_00001897.p1	SSTP_0000991300	SSTP_0000991300.1
XLOC_001806	TCONS_00001898	TCONS_00001898.p1	SSTP_0000991200	SSTP_0000991200.1
XLOC_001807	TCONS_00001899	TCONS_00001899.p1	SSTP_0000990900	SSTP_0000990900.1
XLOC_001807	TCONS_00004412	TCONS_00004412.p1	SSTP_0000990900	SSTP_0000990900.1
XLOC_001808	TCONS_00001900	TCONS_00001900.p1	SSTP_0000990800	SSTP_0000990800.1
XLOC_001809	TCONS_00001901	TCONS_00001901.p1	SSTP_0000990700	SSTP_0000990700.1
XLOC_001810	TCONS_00001902	TCONS_00001902.p1	SSTP_0000990600	SSTP_0000990600.1
XLOC_001810	TCONS_00001903	TCONS_00001903.p1	SSTP_0000990500	SSTP_0000990500.1
XLOC_001810	TCONS_00004413	TCONS_00004413.p1	SSTP_0000990500	SSTP_0000990500.1
XLOC_001811	TCONS_00001904	TCONS_00001904.p1	SSTP_0000990200	SSTP_0000990200.1
XLOC_001812	TCONS_00001905	TCONS_00001905.p1	SSTP_0000989900	SSTP_0000989900.1
XLOC_001812	TCONS_00004414	TCONS_00004414.p1	SSTP_0000989900	SSTP_0000989900.1
XLOC_001813	TCONS_00001906	TCONS_00001906.p1	SSTP_0000989500	SSTP_0000989500.1
XLOC_001814	TCONS_00001907	TCONS_00001907.p1	SSTP_0000989200	SSTP_0000989200.1
XLOC_001815	TCONS_00001908	TCONS_00001908.p1	SSTP_0000988900	SSTP_0000988900.1
XLOC_001815	TCONS_00004415	TCONS_00004415.p1	SSTP_0000988900	SSTP_0000988900.1
XLOC_001816	TCONS_00001909	TCONS_00001909.p1	SSTP_0000988700	SSTP_0000988700.1
XLOC_001817	TCONS_00001910	TCONS_00001910.p1	SSTP_0000988500	SSTP_0000988500.1
XLOC_001817	TCONS_00004416	TCONS_00004416.p1	SSTP_0000988500	SSTP_0000988500.1
XLOC_001818	TCONS_00001911	TCONS_00001911.p1	SSTP_0000988200	SSTP_0000988200.1
XLOC_001818	TCONS_00001912	TCONS_00001912.p1	SSTP_0000988100	SSTP_0000988100.1
XLOC_001818	TCONS_00004417	TCONS_00004417.p1	SSTP_0000988100	SSTP_0000988100.1
XLOC_001819	TCONS_00001913	TCONS_00001913.p1	SSTP_0000988000	SSTP_0000988000.1
XLOC_001821	TCONS_00004419	TCONS_00004419.p1	SSTP_0000290300	SSTP_0000290300.1
XLOC_001823	TCONS_00004421	TCONS_00004421.p1	SSTP_0000987500	SSTP_0000987500.1
XLOC_001827	TCONS_00004425	TCONS_00004425.p1	SSTP_0000861425	SSTP_0000861425.1
XLOC_001828	TCONS_00001914	TCONS_00001914.p1	SSTP_0000812200	SSTP_0000812200.1
XLOC_001830	TCONS_00001916	TCONS_00001916.p1	SSTP_0000812300	SSTP_0000812300.1
XLOC_001831	TCONS_00001917	TCONS_00001917.p1	SSTP_0000812400	SSTP_0000812400.1
XLOC_001831	TCONS_00004426	TCONS_00004426.p1	SSTP_0000812400	SSTP_0000812400.1
XLOC_001832	TCONS_00001918	TCONS_00001918.p1	SSTP_0000812900	SSTP_0000812900.1
XLOC_001833	TCONS_00001919	TCONS_00001919.p1	SSTP_0000813000	SSTP_0000813000.1
XLOC_001834	TCONS_00001920	TCONS_00001920.p1	SSTP_0000813100	SSTP_0000813100.1
XLOC_001835	TCONS_00001921	TCONS_00001921.p1	SSTP_0000813300	SSTP_0000813300.1
XLOC_001836	TCONS_00001922	TCONS_00001922.p1	SSTP_0000813700	SSTP_0000813700.1
XLOC_001837	TCONS_00001923	TCONS_00001923.p1	SSTP_0000813900	SSTP_0000813900.1
XLOC_001837	TCONS_00001924	TCONS_00001924.p1	SSTP_0000814000	SSTP_0000814000.1
XLOC_001837	TCONS_00004427	TCONS_00004427.p1	SSTP_0000814000	SSTP_0000814000.1
XLOC_001838	TCONS_00001925	TCONS_00001925.p1	SSTP_0000814200	SSTP_0000814200.1
XLOC_001839	TCONS_00001926	TCONS_00001926.p1	SSTP_0000814800	SSTP_0000814800.1
XLOC_001840	TCONS_00001927	TCONS_00001927.p1	SSTP_0000815200	SSTP_0000815200.1
XLOC_001840	TCONS_00004428	TCONS_00004428.p1	SSTP_0000815200	SSTP_0000815200.1
XLOC_001841	TCONS_00001928	TCONS_00001928.p1	SSTP_0000815600	SSTP_0000815600.1
XLOC_001841	TCONS_00001929	TCONS_00001929.p1	SSTP_0000815700	SSTP_0000815700.1
XLOC_001841	TCONS_00001930	TCONS_00001930.p1	SSTP_0000815800	SSTP_0000815800.1
XLOC_001841	TCONS_00004429	TCONS_00004429.p1	SSTP_0000815700	SSTP_0000815700.1
XLOC_001842	TCONS_00001931	TCONS_00001931.p1	SSTP_0000816300	SSTP_0000816300.1
XLOC_001843	TCONS_00001932	TCONS_00001932.p1	SSTP_0000816400	SSTP_0000816400.1
XLOC_001843	TCONS_00001933	TCONS_00001933.p1	SSTP_0000816500	SSTP_0000816500.1
XLOC_001843	TCONS_00004430	TCONS_00004430.p1	SSTP_0000816500	SSTP_0000816500.1
XLOC_001844	TCONS_00001934	TCONS_00001934.p1	SSTP_0000816700	SSTP_0000816700.1
XLOC_001845	TCONS_00001935	TCONS_00001935.p1	SSTP_0000817100	SSTP_0000817100.1
XLOC_001845	TCONS_00001936	TCONS_00001936.p1	SSTP_0000817200	SSTP_0000817200.1
XLOC_001845	TCONS_00004431	TCONS_00004431.p1	SSTP_0000817200	SSTP_0000817200.1
XLOC_001846	TCONS_00001937	TCONS_00001937.p1	SSTP_0000817400	SSTP_0000817400.1
XLOC_001846	TCONS_00001938	TCONS_00001938.p1	SSTP_0000817500	SSTP_0000817500.1
XLOC_001846	TCONS_00001939	TCONS_00001939.p1	SSTP_0000817600	SSTP_0000817600.1
XLOC_001846	TCONS_00004432	TCONS_00004432.p1	SSTP_0000817400	SSTP_0000817400.1
XLOC_001847	TCONS_00001940	TCONS_00001940.p1	SSTP_0000817900	SSTP_0000817900.1
XLOC_001848	TCONS_00004433	TCONS_00004433.p1	SSTP_0000476900	SSTP_0000476900.1
XLOC_001849	TCONS_00001941	TCONS_00001941.p1	SSTP_0000818500	SSTP_0000818500.1
XLOC_001850	TCONS_00001942	TCONS_00001942.p1	SSTP_0000818700	SSTP_0000818700.1
XLOC_001851	TCONS_00001943	TCONS_00001943.p1	SSTP_0000819000	SSTP_0000819000.1
XLOC_001852	TCONS_00001944	TCONS_00001944.p1	SSTP_0000819100	SSTP_0000819100.1
XLOC_001853	TCONS_00001945	TCONS_00001945.p1	SSTP_0000819200	SSTP_0000819200.1
XLOC_001854	TCONS_00001946	TCONS_00001946.p1	SSTP_0000819400	SSTP_0000819400.1
XLOC_001854	TCONS_00001947	TCONS_00001947.p1	SSTP_0000819500	SSTP_0000819500.1
XLOC_001854	TCONS_00001948	TCONS_00001948.p1	SSTP_0000819600	SSTP_0000819600.1
XLOC_001854	TCONS_00004435	TCONS_00004435.p1	SSTP_0000819400	SSTP_0000819400.1
XLOC_001855	TCONS_00001949	TCONS_00001949.p1	SSTP_0000819800	SSTP_0000819800.1
XLOC_001855	TCONS_00004436	TCONS_00004436.p1	SSTP_0000819800	SSTP_0000819800.1
XLOC_001856	TCONS_00001950	TCONS_00001950.p1	SSTP_0000820000	SSTP_0000820000.1
XLOC_001857	TCONS_00001951	TCONS_00001951.p1	SSTP_0000820100	SSTP_0000820100.1
XLOC_001860	TCONS_00001954	TCONS_00001954.p1	SSTP_0000820500	SSTP_0000820500.1
XLOC_001861	TCONS_00001955	TCONS_00001955.p1	SSTP_0000820900	SSTP_0000820900.1
XLOC_001862	TCONS_00001956	TCONS_00001956.p1	SSTP_0000821100	SSTP_0000821100.1
XLOC_001862	TCONS_00001957	TCONS_00001957.p1	SSTP_0000821200	SSTP_0000821200.1
XLOC_001862	TCONS_00004437	TCONS_00004437.p1	SSTP_0000821100	SSTP_0000821100.1
XLOC_001863	TCONS_00001958	TCONS_00001958.p1	SSTP_0000821400	SSTP_0000821400.1
XLOC_001864	TCONS_00001959	TCONS_00001959.p1	SSTP_0000821500	SSTP_0000821500.1
XLOC_001865	TCONS_00004438	TCONS_00004438.p1	SSTP_0000452900	SSTP_0000452900.1
XLOC_001869	TCONS_00004442	TCONS_00004442.p1	SSTP_0000861425	SSTP_0000861425.1
XLOC_001870	TCONS_00001960	TCONS_00001960.p1	SSTP_0000347800	SSTP_0000347800.1
XLOC_001870	TCONS_00001961	TCONS_00001961.p1	SSTP_0000347500	SSTP_0000347500.1
XLOC_001870	TCONS_00004443	TCONS_00004443.p1	SSTP_0000347800	SSTP_0000347800.1
XLOC_001870	TCONS_00004444	TCONS_00004444.p1	SSTP_0000347400	SSTP_0000347400.1
XLOC_001871	TCONS_00001962	TCONS_00001962.p1	SSTP_0000347300	SSTP_0000347300.1
XLOC_001871	TCONS_00004445	TCONS_00004445.p1	SSTP_0000347300	SSTP_0000347300.1
XLOC_001872	TCONS_00001963	TCONS_00001963.p1	SSTP_0000347100	SSTP_0000347100.1
XLOC_001873	TCONS_00001964	TCONS_00001964.p1	SSTP_0000346600	SSTP_0000346600.1
XLOC_001873	TCONS_00004446	TCONS_00004446.p1	SSTP_0000346600	SSTP_0000346600.1
XLOC_001874	TCONS_00001965	TCONS_00001965.p1	SSTP_0000346200	SSTP_0000346200.1
XLOC_001875	TCONS_00001966	TCONS_00001966.p1	SSTP_0000346100	SSTP_0000346100.1
XLOC_001875	TCONS_00004447	TCONS_00004447.p1	SSTP_0000346100	SSTP_0000346100.1
XLOC_001876	TCONS_00001967	TCONS_00001967.p1	SSTP_0000346000	SSTP_0000346000.1
XLOC_001877	TCONS_00001968	TCONS_00001968.p1	SSTP_0000345900	SSTP_0000345900.1
XLOC_001877	TCONS_00004448	TCONS_00004448.p1	SSTP_0000345900	SSTP_0000345900.1
XLOC_001877	TCONS_00004448	TCONS_00004448.p2	SSTP_0000345900	SSTP_0000345900.1
XLOC_001878	TCONS_00001969	TCONS_00001969.p1	SSTP_0000345800	SSTP_0000345800.2
XLOC_001879	TCONS_00001970	TCONS_00001970.p1	SSTP_0000293200	SSTP_0000293200.1
XLOC_001879	TCONS_00001971	TCONS_00001971.p1	SSTP_0000449000	SSTP_0000449000.1
XLOC_001879	TCONS_00004449	TCONS_00004449.p1	SSTP_0000293200	SSTP_0000293200.1
XLOC_001880	TCONS_00001972	TCONS_00001972.p1	SSTP_0000290500	SSTP_0000290500.1
XLOC_001881	TCONS_00001973	TCONS_00001973.p1	SSTP_0000291100	SSTP_0000291100.1
XLOC_001882	TCONS_00001974	TCONS_00001974.p1	SSTP_0000291200	SSTP_0000291200.1
XLOC_001882	TCONS_00001975	TCONS_00001975.p1	SSTP_0000291300	SSTP_0000291300.1
XLOC_001882	TCONS_00004450	TCONS_00004450.p1	SSTP_0000291300	SSTP_0000291300.1
XLOC_001883	TCONS_00001976	TCONS_00001976.p1	SSTP_0000291600	SSTP_0000291600.1
XLOC_001884	TCONS_00001977	TCONS_00001977.p1	SSTP_0000291700	SSTP_0000291700.1
XLOC_001885	TCONS_00001978	TCONS_00001978.p1	SSTP_0000291900	SSTP_0000291900.1
XLOC_001885	TCONS_00001979	TCONS_00001979.p1	SSTP_0000292000	SSTP_0000292000.1
XLOC_001885	TCONS_00004451	TCONS_00004451.p1	SSTP_0000291900	SSTP_0000291900.1
XLOC_001886	TCONS_00001980	TCONS_00001980.p1	SSTP_0000292100	SSTP_0000292100.1
XLOC_001888	TCONS_00001982	TCONS_00001982.p1	SSTP_0000293400	SSTP_0000293400.1
XLOC_001889	TCONS_00001983	TCONS_00001983.p1	SSTP_0000293700	SSTP_0000293700.1
XLOC_001889	TCONS_00004452	TCONS_00004452.p1	SSTP_0000293700	SSTP_0000293700.1
XLOC_001890	TCONS_00001984	TCONS_00001984.p1	SSTP_0000293900	SSTP_0000293900.1
XLOC_001891	TCONS_00001985	TCONS_00001985.p1	SSTP_0000294100	SSTP_0000294100.1
XLOC_001892	TCONS_00001986	TCONS_00001986.p1	SSTP_0000294200	SSTP_0000294200.1
XLOC_001892	TCONS_00001987	TCONS_00001987.p1	SSTP_0000294300	SSTP_0000294300.1
XLOC_001892	TCONS_00001988	TCONS_00001988.p1	SSTP_0000294400	SSTP_0000294400.1
XLOC_001892	TCONS_00001989	TCONS_00001989.p1	SSTP_0000294500	SSTP_0000294500.1
XLOC_001892	TCONS_00004453	TCONS_00004453.p1	SSTP_0000294300	SSTP_0000294300.1
XLOC_001893	TCONS_00001990	TCONS_00001990.p1	SSTP_0000294800	SSTP_0000294800.1
XLOC_001895	TCONS_00001991	TCONS_00001991.p1	SSTP_0000295100	SSTP_0000295100.1
XLOC_001896	TCONS_00001992	TCONS_00001992.p1	SSTP_0000295200	SSTP_0000295200.1
XLOC_001897	TCONS_00001993	TCONS_00001993.p1	SSTP_0000295600	SSTP_0000295600.1
XLOC_001898	TCONS_00001994	TCONS_00001994.p1	SSTP_0000295800	SSTP_0000295800.1
